coercive	int	int	0	accept
coercive	int	float(1.5)	1.5	accept	deprecated
coercive	int	float(1.0)	1.0	accept
coercive	int	string(numeric)	'5'	accept
coercive	int	string(non-numeric)	'abc'	TypeError
coercive	int	bool(true)	true	accept
coercive	int	bool(false)	false	accept
coercive	int	null	null	TypeError
coercive	int	array	[]	TypeError
coercive	float	int	0	accept
coercive	float	float(1.5)	1.5	accept
coercive	float	float(1.0)	1.0	accept
coercive	float	string(numeric)	'5'	accept
coercive	float	string(non-numeric)	'abc'	TypeError
coercive	float	bool(true)	true	accept
coercive	float	bool(false)	false	accept
coercive	float	null	null	TypeError
coercive	float	array	[]	TypeError
coercive	string	int	0	accept
coercive	string	float(1.5)	1.5	accept
coercive	string	float(1.0)	1.0	accept
coercive	string	string(numeric)	'5'	accept
coercive	string	string(non-numeric)	'abc'	accept
coercive	string	bool(true)	true	accept
coercive	string	bool(false)	false	accept
coercive	string	null	null	TypeError
coercive	string	array	[]	TypeError
coercive	bool	int	0	accept
coercive	bool	float(1.5)	1.5	accept
coercive	bool	float(1.0)	1.0	accept
coercive	bool	string(numeric)	'5'	accept
coercive	bool	string(non-numeric)	'abc'	accept
coercive	bool	bool(true)	true	accept
coercive	bool	bool(false)	false	accept
coercive	bool	null	null	TypeError
coercive	bool	array	[]	TypeError
coercive	?int	int	0	accept
coercive	?int	float(1.5)	1.5	accept	deprecated
coercive	?int	float(1.0)	1.0	accept
coercive	?int	string(numeric)	'5'	accept
coercive	?int	string(non-numeric)	'abc'	TypeError
coercive	?int	bool(true)	true	accept
coercive	?int	bool(false)	false	accept
coercive	?int	null	null	accept
coercive	?int	array	[]	TypeError
coercive	int|string	int	0	accept
coercive	int|string	float(1.5)	1.5	accept	deprecated
coercive	int|string	float(1.0)	1.0	accept
coercive	int|string	string(numeric)	'5'	accept
coercive	int|string	string(non-numeric)	'abc'	accept
coercive	int|string	bool(true)	true	accept
coercive	int|string	bool(false)	false	accept
coercive	int|string	null	null	TypeError
coercive	int|string	array	[]	TypeError
coercive	string|false	int	0	accept
coercive	string|false	float(1.5)	1.5	accept
coercive	string|false	float(1.0)	1.0	accept
coercive	string|false	string(numeric)	'5'	accept
coercive	string|false	string(non-numeric)	'abc'	accept
coercive	string|false	bool(true)	true	accept
coercive	string|false	bool(false)	false	accept
coercive	string|false	null	null	TypeError
coercive	string|false	array	[]	TypeError
coercive	DateTime	int	0	TypeError
coercive	DateTime	float(1.5)	1.5	TypeError
coercive	DateTime	float(1.0)	1.0	TypeError
coercive	DateTime	string(numeric)	'5'	TypeError
coercive	DateTime	string(non-numeric)	'abc'	TypeError
coercive	DateTime	bool(true)	true	TypeError
coercive	DateTime	bool(false)	false	TypeError
coercive	DateTime	null	null	TypeError
coercive	DateTime	array	[]	TypeError
